country,year_first,year_last
Russia,1917,1991
Ukraine,1918,1992
Finland,1918,1956
Germany,1918,1990
France,1918,1918
Estonia,1918,1991
Latvia,1918,1991
Lithuania,1919,1991
Belarus,1919,1991
Hungary,1919,1989
Ireland,1919,1919
Azerbaijan,1919,1991
Czech Republic,1919,1990
Serbia,1919,1990
Tajikistan,1920,1991
Uzbekistan,1920,1991
Iran,1920,1947
Poland,1920,1989
Armenia,1920,1991
Georgia,1921,1991
Mongolia,1921,1992
China,1927,2020
Spain,1934,1934
Kyrkystan,1936,1991
Romania,1940,1989
Moldova,1918,1991
Greece,1944,1949
Albania,1944,1992
Bulgaria,1944,1990
Norway,1944,1946
Austria,1945,1946
Denmark,1945,1946
Japan,1945,1945
North Korea,1945,2020
Colombia,1948,1958
Vietnam,1954,2020
Yemen,1967,1990
Democratic Republic of Congo,1969,1992
Somalia,1969,1991
Ethiopia,1974,1991
Mozambique,1975,1990
Angola,1975,1992
Benin,1975,1990
Cambodia,1976,1998
Afghanistan,1978,1992
Grenada,1979,1983
Burkina Faso,1984,1987
Croatia,1945,1992
Slovenia,1945,1992
Macedonia,1945,1992
Bosnia and Herzegovina,1945,1992
Montenegro,1945,1992